*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Feb 22 11:19:21 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1920-Nov-16 12:00:00.0000 TDB
Stop  time      : A.D. 2020-Nov-16 12:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2422645.000000000, A.D. 1920-Nov-16 12:00:00.0000,  8.605881230731764E+07,  1.205804106133807E+08, -4.548566233284771E+03,
2422675.000000000, A.D. 1920-Dec-16 12:00:00.0000,  1.304142653196387E+07,  1.462596546638264E+08, -1.544943676888943E+03,
2422706.000000000, A.D. 1921-Jan-16 12:00:00.0000, -6.553914313254224E+07,  1.307560861506128E+08, -5.792749042347074E+03,
2422737.000000000, A.D. 1921-Feb-16 12:00:00.0000, -1.247317017196099E+08,  7.706797187482141E+07, -1.651845979159698E+04,
2422765.000000000, A.D. 1921-Mar-16 12:00:00.0000, -1.473922105375565E+08,  8.805499136707833E+06, -2.952251197795104E+04,
2422796.000000000, A.D. 1921-Apr-16 12:00:00.0000, -1.325524789770635E+08, -6.862198808684301E+07, -4.357536610558629E+04,
2422826.000000000, A.D. 1921-May-16 12:00:00.0000, -8.305079479000549E+07, -1.259481592237816E+08, -5.362017542310059E+04,
2422857.000000000, A.D. 1921-Jun-16 12:00:00.0000, -9.735715468439050E+06, -1.518350522225651E+08, -5.789953712493926E+04,
2422887.000000000, A.D. 1921-Jul-16 12:00:00.0000,  6.421669811030455E+07, -1.385776416148698E+08, -5.507732262556255E+04,
2422918.000000000, A.D. 1921-Aug-16 12:00:00.0000,  1.239733335251230E+08, -8.886279133132446E+07, -4.587026101437584E+04,
2422949.000000000, A.D. 1921-Sep-16 12:00:00.0000,  1.507860788294771E+08, -1.541972786061030E+07, -3.264711170518212E+04,
2422979.000000000, A.D. 1921-Oct-16 12:00:00.0000,  1.377417989640481E+08,  5.978188602508484E+07, -1.959984533075243E+04,
2423010.000000000, A.D. 1921-Nov-16 12:00:00.0000,  8.668355229735678E+07,  1.206512314002670E+08, -9.560823312468827E+03,
2423040.000000000, A.D. 1921-Dec-16 12:00:00.0000,  1.377193645419005E+07,  1.466572419088305E+08, -6.195310554161668E+03,
2423071.000000000, A.D. 1922-Jan-16 12:00:00.0000, -6.488886323340143E+07,  1.315126057376616E+08, -1.039904819127172E+04,
2423102.000000000, A.D. 1922-Feb-16 12:00:00.0000, -1.243402608324879E+08,  7.809656904740362E+07, -2.122099389533699E+04,
2423130.000000000, A.D. 1922-Mar-16 12:00:00.0000, -1.473209557412112E+08,  9.933871414110916E+06, -3.374175290866196E+04,
2423161.000000000, A.D. 1922-Apr-16 12:00:00.0000, -1.328459209210346E+08, -6.756335200841579E+07, -4.746801339070126E+04,
2423191.000000000, A.D. 1922-May-16 12:00:00.0000, -8.361298373704760E+07, -1.251148132742358E+08, -5.686925564556569E+04,
2423222.000000000, A.D. 1922-Jun-16 12:00:00.0000, -1.042677614399940E+07, -1.513312233805397E+08, -6.014358222133666E+04,
