C.D.S.  -  SIMBAD4 rel 1.8  -  2025.03.19CET13:16:10

Vmag < 1
--------

Number of objects : 18

# ;            identifier             ;typ; coord1 (ICRS,J2000/2000)  ;        pm        ;   plx    ;  radvel  ;  redshift  ;    cz    ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;Mag G ;  spec. type   
--;-----------------------------------;---;---------------------------;------------------;----------;----------;------------;----------;---------;---------;---------;---------;------;---------------
1 ;NAME LMC                           ;G  ;080.8942 -69.7561          ;    1.910 0.229   ;      ~   ;262.2     ;0.000875    ;262.31    ;     ~   ;     ~   ;0.4      ;     ~   ;     ~;~              
2 ;* alf Eri                          ;Be*;024.42852283 -57.23675281  ;   87.00 -38.24   ;23.39     ;8.470     ;0.000028    ;8.47      ;-0.36    ;0.30     ;0.46     ;0.49     ;     ~;B6Vpe          
3 ;NAME CMa Dwarf Galaxy              ;G  ;108.1500 -27.6667          ;            ~ ~   ;      ~   ;87.0      ;0.000290    ;87.01     ;     ~   ;     ~   ;-0.1     ;     ~   ;     ~;~              
4 ;* bet Ori                          ;s*b;078.63446707 -08.20163836  ;      1.31 0.50   ;3.78      ;17.80     ;0.000059    ;17.80     ;-0.56    ;0.10     ;0.13     ;0.13     ;     ~;B8Ia           
5 ;* alf Cen A                        ;SB*;219.90205833 -60.83399269  ;-3679.25 473.67   ;742.12    ;-15.252000;-0.000051   ;-15.25    ;0.96     ;0.72     ;0.01     ;     ~   ;     ~;G2V            
6 ;* alf Aql                          ;dS*;297.69582730 +08.86832120  ;  536.23 385.29   ;194.95    ;-26.60    ;-0.000089   ;-26.60    ;1.07     ;0.98     ;0.76     ;0.62     ;     ~;A7Vn           
7 ;* alf Cen                          ;** ;219.90208 -60.83397        ;      -3608 686   ;750.81    ;-22.3     ;-0.000074   ;-22.30    ;     ~   ;0.4      ;-0.1     ;     ~   ;     ~;G2V+K1V        
8 ;* alf Lyr                          ;dS*;279.23473479 +38.78368896  ;  200.94 286.23   ;130.23    ;-13.5     ;-0.000045   ;-13.50    ;0.03     ;0.03     ;0.03     ;0.07     ;     ~;A0V            
9 ;* alf Tau                          ;LP?;068.98016279 +16.50930235  ;  63.45 -188.94   ;48.94     ;54.398    ;0.000181    ;54.40     ;4.32     ;2.40     ;0.86     ;-0.37    ;     ~;K5+III         
10;* alf CMa                          ;SB*;101.28715533 -16.71611586  ;-546.01 -1223.07  ;379.21    ;-5.50     ;-0.000018   ;-5.50     ;-1.51    ;-1.46    ;-1.46    ;-1.46    ;     ~;A0mA1Va        
11;* alf Aur                          ;SB*;079.17232794 +45.99799147  ;  75.25 -426.89   ;76.20     ;29.19     ;0.000097    ;29.19     ;1.33     ;0.88     ;0.08     ;-0.52    ;     ~;G3III:         
12;* alf Sco                          ;s*r;247.35191542 -26.43200261  ;  -12.11 -23.30   ;5.89      ;-3.50     ;-0.000012   ;-3.50     ;4.08     ;2.75     ;0.91     ;-0.64    ;     ~;M1.5Iab+B2Vn   
13;* alf Boo                          ;RG*;213.91530029 +19.18240916  ;-1093.39 -2000.06 ;88.83     ;-5.229    ;-0.000017   ;-5.23     ;2.46     ;1.18     ;-0.05    ;-1.03    ;     ~;K1.5IIIFe-0.5  
14;* alf Ori                          ;s*r;088.79293899 +07.40706400  ;    27.54 11.30   ;6.55      ;21.91     ;0.000073    ;21.91     ;4.38     ;2.27     ;0.42     ;-1.17    ;     ~;M1-M2Ia-Iab    
15;* alf Vir                          ;bC*;201.29824736 -11.16131949  ;  -42.35 -30.67   ;13.06     ;-3.310    ;-0.000011   ;-3.31     ;-0.20    ;0.74     ;0.97     ;1.06     ;     ~;B1V            
16;* bet Cen                          ;bC*;210.95585562 -60.37303516  ;  -33.27 -23.16   ;8.32      ;2.520     ;0.000008    ;2.52      ;     ~   ;     ~   ;0.58     ;     ~   ;     ~;B1III          
17;* alf CMi                          ;SB*;114.82549791 +05.22498756  ;-714.59 -1036.80  ;284.56    ;-4.505280 ;-0.000015   ;-4.51     ;0.82     ;0.79     ;0.37     ;-0.05    ;     ~;F5IV-V+DQZ     
18;* alf Car                          ;*  ;095.98795783 -52.69566138  ;    19.93 23.24   ;10.55     ;20.30     ;0.000068    ;20.30     ;-0.49    ;-0.59    ;-0.74    ;-0.96    ;     ~;A9II           
================================================================================

